species	assembly_length	N_fams	N_fams_young	N_subfams	N_subfams_young	Family_Shannon_Diversity_Index	Family_Shannon_Diversity_Index_young	SubFamily_Shannon_Diversity_Index	SubFamily_Shannon_Diversity_Index_young	Family_PielouJ	Family_PielouJ_young	SubFamily_PielouJ	SubFamily_PielouJ_young
Pseudomyrmex_gracilis	282776121	50	2	1894	34	1.9721109113143367	1.1154439055196677	6.772326688285801	5.221368579545812	0.15648894385181178	0.11516467931447942	0.5374240952344405	0.5426871413862826
Nannochloropsis_gaditana_CCMP526	33986952	4	0	54	0	0.7613557745379924	0.6877823582310421	3.3814422113011533	0.0	0.10033923491618475	0.20640460575899022	0.4461194583865548	0.0
Gouania_willdenowi	937150793	66	6	3523	27	2.320118763310405	2.323542770371891	7.094299467986465	4.50090670920587	0.15878700108206406	0.21635264296532977	0.4855308114480246	0.42188236074780927
Eimeria_acervulina	45830609	13	1	231	1	1.060405243250883	0.6467529522469059	4.323018406795545	0.8863012760402031	0.0920852591246286	0.13372937407087232	0.3754258276740309	0.20861533920717665
Babesia_bigemina	13840936	2	1	75	2	0.3109985066788401	0.685443863030838	3.456092894596512	0.7845416234101279	0.036205196569427105	0.1131259162267325	0.4023531604121812	0.12963153739348446
Kryptolebias_marmoratus	680366784	62	6	1958	14	2.3345478516895826	2.4554276642942856	6.463633570203801	4.708572184145928	0.16965350471797344	0.25101640006645737	0.4697196016174032	0.4838833860362287
Punica_granatum	320494280	29	2	1649	9	1.305780941512749	1.369926315505609	6.0305759041687335	2.8809973035356866	0.10155541553005303	0.16611820356358245	0.4690372209437724	0.35306570313987196
Aspergillus_alliaceus	40168528	13	0	168	0	1.7194938455979574	0.5875342156998483	4.500586700657543	2.562077875763426	0.20061056556747184	0.10902326878470664	0.5253438425553394	0.49773300142508864
Nannizzia_gypsea_CBS_118893	23272942	3	0	13	0	0.9568901772473222	nan	1.9830198531998235	nan	0.18077367711335737	NA	0.3802577721703374	NA
Aspergillus_nidulans_FGSC_A4	30275969	11	0	42	0	1.9217652190839467	1.4280685564740874	2.8219583633172456	1.8797816893426558	0.2644826808590169	0.2738420227690106	0.38867152125656435	0.36477301058409295
Apteryx_rowi	1228902913	32	1	407	1	1.387912908233148	0.7775498070576379	4.87115542372368	2.421235544917081	0.11146543081460329	0.10222995690839301	0.39121358537379725	0.31969704235949886
Lobosporangium_transversale	42768949	29	8	351	14	2.3846209582995326	2.242278774730109	4.948346458597702	3.7494154912431923	0.24893890119138487	0.30229247990358293	0.5171154399697846	0.5112600132538224
Drosophila_busckii	118492362	24	0	259	0	2.2379351227233606	1.568193168902383	4.815867149020555	2.7482614778171968	0.21456247882868987	0.24881611516378213	0.46176538723136784	0.4600517352204735
Enhydra_lutris_kenyoni	2455276666	32	0	708	0	1.3485564857861352	0.2969015202053566	4.731247705965059	1.0981471658136763	0.0898329111605565	0.03363717960979408	0.31516799252998684	0.12474304082737277
Aspergillus_aculeatinus_CBS_121060	36471649	6	0	38	0	0.5243425778849977	0.0	0.991226965476286	0.0	0.0766043408296009	0.0	0.14497275360755812	0.0
Jaculus_jaculus	2835250225	28	0	846	0	1.5539294317249648	1.0041068808221327	5.171018422851178	1.8414219494831556	0.09956563516746157	0.10155044362881951	0.3313251301510962	0.18663155989557553
Byssochlamys_spectabilis	30105809	4	1	61	1	0.7213745359156889	0.0	2.7686696849489056	0.3154348834691902	0.09493769735577587	0.0	0.36498111798434507	0.10060132844981712
Fusarium_oxysporum_f._sp._lycopersici_4287	61471697	20	4	303	6	2.4305927507295544	1.9519068760261788	4.849037057056002	2.856590129470334	0.2546659863561851	0.2802038614277418	0.5084997035462546	0.4189209473701498
Notechis_scutatus	1665525958	48	9	1858	24	2.2805472842906536	1.7468423014193	6.117250073574797	2.7472384672680805	0.15326557911030497	0.16268079305328767	0.41111427745499773	0.2563568972333178
Spizellomyces_punctatus_DAOM_BR117	24131112	6	3	39	4	0.9801240481139337	0.7587675018335966	2.527264584806583	2.055071402841611	0.13885219282717762	0.12921530681716467	0.35847101628953437	0.35238559947779685
Rhizopus_microsporus_ATCC_52813	25972395	19	1	254	2	1.9161634781085386	0.41584696871648114	4.82895560347454	2.4394455041861804	0.21149476840467873	0.07576091940974782	0.5335415489248575	0.49154178418404876
Theileria_orientalis_strain_Shintoku	9010364	3	0	5	0	1.008829088629281	nan	1.265671237394463	nan	0.1699070209905821	NA	0.21325927567986408	NA
Meriones_unguiculatus	2523124066	29	1	931	1	1.7952589997657393	1.0069487356014921	5.401452002109609	2.653112458921107	0.118776189651187	0.10132667166050383	0.3573657336196889	0.267497296985705
Bipolaris_zeicola_26-R-13	31267936	4	1	101	10	0.7978757605651214	0.046164158087432045	4.122788867145331	2.8148105622701722	0.1042692608363629	0.007903953160549244	0.540341021446232	0.49766878319828356
Gorilla_gorilla_gorilla	3044872214	32	1	898	2	1.7961786271246851	0.39096470633364083	5.053463219514579	1.181901425433195	0.11799190637900159	0.04796667741938112	0.33196486759660937	0.14701217458422858
Naumovozyma_castellii_CBS_4309	11219539	4	1	20	1	1.2862507766245095	0.6139844770335113	2.106685635531031	0.7641420029853381	0.23346525930531148	0.14819322024998732	0.38266281000173236	0.19958568166923765
Numida_meleagris	1043264150	19	0	322	0	1.0484995069362506	0.9087681376858139	4.29134078863418	2.301623128930654	0.08306436924433278	0.13350828845127022	0.3399713978381356	0.3442523180114713
Dasypus_novemcinctus	3631522711	29	2	988	3	1.2969854800072558	1.1169581944256821	5.15829205210059	2.690416358025739	0.0849462208437265	0.1230888482138464	0.3378430910858019	0.2982834343723264
Picoides_pubescens	1167323935	19	0	484	0	0.5066697438220414	0.5416556249325324	4.356849884841978	3.303237683831231	0.03690828988845982	0.06524970245815809	0.31737435047509693	0.4006803890370438
Theropithecus_gelada	2889630685	32	2	1015	2	1.780912586429003	0.2828995775775186	5.033536921306313	1.1572118607190254	0.11665404419096694	0.03026448092012065	0.3297090956568382	0.12421459838386364
Rhizophagus_irregularis_DAOM_181602=DAOM_197198	136726313	40	2	1208	5	1.743514904605099	0.9708076728527699	6.359439491903881	4.673803036308389	0.14768220697678086	0.11186183774262343	0.5387281724064181	0.5481088742205793
Ricinus_communis	350621860	25	4	1437	21	1.2013229692053422	0.9811732762194189	5.572638942809899	2.9662793068980973	0.09438381809100879	0.11036823035896674	0.43783738515904963	0.3356951761588283
Durio_zibethinus	715230256	25	1	1216	1	1.2911527356463892	2.0512377034865605	5.333237105379174	2.7736737769327884	0.09670883092764175	0.322455615138295	0.39947338024590007	0.4653030183509415
Fonsecaea_erecta	34747975	3	1	58	1	0.31111060472016655	0.0	3.534297211083751	0.6844611309227508	0.04325225216192516	0.0	0.4926039048271602	0.22847873855921694
