species	tree_tip	gini	l_arr	l_exp	logS
Aaosphaeria_arxii_CBS_175.79	Aaosphaeria_arxii	0.3262061403508772	0.6931471805599453	0.0	2.0794415416798357
Abrus_precatorius	Abrus_precatorius_-species_in_kingdom_Archaeplastida	0.5529821834157229	2.70805020110221	1.6094379124341003	6.214608098422191
Acanthamoeba_castellanii_str._Neff	Acanthamoeba_castellanii	0.39306599832915623	1.9459101490553132	0.6931471805599453	2.9444389791664403
Acanthaster_planci	Acanthaster_planci	0.5552512562583515	4.07753744390572	2.5649493574615367	6.848005274576363
Acanthisitta_chloris	Acanthisitta_chloris	0.7349033426745469	1.3862943611198906	1.0986122886681098	4.7535901911063645
Acinonyx_jubatus	Acinonyx_jubatus	0.8257347745487896	1.3862943611198906	1.0986122886681098	5.594711379601839
Acipenser_ruthenus	Acipenser_ruthenus	0.6292077721471959	5.66988092298052	4.02535169073515	7.371489295214277
Acromyrmex_echinatior	Acromyrmex_echinatior	0.6154892876637809	3.828641396489095	2.1972245773362196	6.47543271670409
Acropora_digitifera	Acropora_digitifera	0.5837886801594517	5.537334267018537	4.1588830833596715	7.313886831633462
Acropora_millepora	Acropora_millepora_-species_in_domain_Eukaryota	0.581885322467142	5.438079308923196	3.784189633918261	7.191429330036379
Actinia_tenebrosa	Actinia_tenebrosa	0.5877977545405493	4.770684624465665	4.143134726391533	6.7464121285733745
Acyrthosiphon_pisum	Acyrthosiphon_pisum	0.7037170481019177	4.61512051684126	1.3862943611198906	6.340359303727752
Acytostelium_subglobosum_LB1	Acytostelium_subglobosum	0.3992341797662233	2.8903717578961645	0.0	3.4011973816621555
Aedes_aegypti	Aedes_aegypti	0.5911270733803441	5.198497031265826	4.672828834461906	7.532623618788788
Aedes_albopictus	Aedes_albopictus	0.6064229278610285	5.393627546352362	4.6443908991413725	7.429520842786462
Aethina_tumida	Aethina_tumida	0.5840330437518108	3.5263605246161616	1.791759469228055	5.948034989180646
Agaricus_bisporus_var._bisporus_H97	Agaricus_bisporus	0.5131578947368421	2.302585092994046	0.0	2.995732273553991
Agaricus_bisporus_var._burnettii_JB137-S8	Agaricus_bisporus	0.5616530455434479	3.295836866004329	0.0	3.4657359027997265
Agrilus_planipennis	Agrilus_planipennis	0.6405401758506594	4.852030263919617	4.343805421853684	6.80128303447162
Ailuropoda_melanoleuca	Ailuropoda_melanoleuca	0.8093813317334596	0.6931471805599453	0.6931471805599453	5.5909869805108565
Alligator_mississippiensis	Alligator_mississippiensis	0.6165920389397398	3.2188758248682006	1.6094379124341003	6.890609120147166
Alligator_sinensis	Alligator_sinensis	0.6341543559125834	3.5553480614894135	2.1972245773362196	6.9440872082295275
Alternaria_alternata	Alternaria_alternata	0.5384105960264901	1.3862943611198906	0.0	2.6390573296152584
Alternaria_arborescens	Alternaria_arborescens	0.5457928802588997	1.3862943611198906	0.0	3.1780538303479458
Amblyraja_radiata	Amblyraja_radiata	0.7850748845608281	5.135798437050262	4.204692619390966	7.0630481633881725
Amborella_trichopoda	Amborella_trichopoda	0.686344552972267	2.8903717578961645	2.5649493574615367	6.951772164398911
Amphimedon_queenslandica	Amphimedon_queenslandica	0.6295537890746646	4.61512051684126	2.3978952727983707	6.431331081933479
Amyelois_transitella	Amyelois_transitella	0.7199338454430941	4.770684624465665	3.784189633918261	6.507277712385012
Anabas_testudineus	Anabas_testudineus	0.5596660152265133	2.995732273553991	2.3978952727983707	5.924255797414532
Ananas_comosus	Ananas_comosus	0.6753922934686017	3.5263605246161616	1.9459101490553132	6.838405200847344
Anarrhichthys_ocellatus	Anarrhichthys_ocellatus	0.6209470170959271	4.727387818712341	2.302585092994046	6.561030665896573
Anas_platyrhynchos	Anas_platyrhynchos	0.6683018507522185	3.1354942159291497	1.791759469228055	5.1647859739235145
Anneissia_japonica	Anneissia_japonica	0.6173986893367855	6.016157159698354	3.4011973816621555	7.3938782901077555
Anopheles_gambiae_str._PEST	Anopheles_gambiae	0.5564296061326374	4.2626798770413155	3.4011973816621555	6.091309882077698
Anoplophora_glabripennis	Anoplophora_glabripennis	0.5735576927887596	6.133398042996649	4.465908118654584	7.495541943884256
Anser_cygnoides_domesticus	Anser_cygnoides	0.6006799053052073	0.0	0.6931471805599453	4.23410650459726
Anthracocystis_flocculosa_PF-1	Pseudozyma_flocculosa	0.24486024486024485	0.6931471805599453	0.0	2.5649493574615367
Antrostomus_carolinensis	Antrostomus_carolinensis	0.6841819364734656	1.9459101490553132	0.6931471805599453	4.804021044733257
Aotus_nancymaae	Aotus_nancymaae	0.816510289484699	0.6931471805599453	1.791759469228055	6.016157159698354
Apaloderma_vittatum	Apaloderma_vittatum	0.7155204196860581	1.3862943611198906	2.302585092994046	4.787491742782046
Aphanomyces_astaci	Aphanomyces_astaci	0.5471083822720628	5.365976015021851	3.4657359027997265	6.709304340258298
Aphanomyces_invadans	Aphanomyces_invadans	0.41981521611922434	3.5263605246161616	1.791759469228055	6.19644412779452
Aphantopus_hyperantus	Aphantopus_hyperantus	0.7199191564903656	5.645446897643238	4.465908118654584	7.039660349862076
Aphis_gossypii	Aphis_gossypii	0.6895250435364012	1.9459101490553132	0.6931471805599453	4.770684624465665
Apiotrichum_porosum	Apiotrichum_porosum	0.2773972602739726	0.6931471805599453	0.6931471805599453	1.3862943611198906
Apis_cerana	Apis_cerana	0.4917152439511299	0.0	0.0	3.332204510175204
Apis_dorsata	Apis_dorsata	0.5332981493058827	1.0986122886681098	0.0	4.02535169073515
Apis_florea	Apis_florea	0.5326859467191132	1.0986122886681098	0.0	3.9318256327243257
Apis_mellifera	Apis_mellifera_-species_in_domain_Eukaryota	0.5200918053807775	2.0794415416798357	0.6931471805599453	4.127134385045092
Aplosporella_prunicola_CBS_121167	Aplosporella_prunicola	0.5554242165020609	1.9459101490553132	0.6931471805599453	4.007333185232471
Aplysia_californica	Aplysia_californica	0.7325082680815607	4.418840607796598	2.70805020110221	6.401917196727186
Aptenodytes_forsteri	Aptenodytes_forsteri	0.6667679858153192	2.0794415416798357	1.3862943611198906	4.3694478524670215
Apteryx_mantelli_mantelli	Apteryx_australis_mantelli	0.7363479219706658	2.4849066497880004	1.3862943611198906	3.9512437185814275
Apteryx_rowi	Apteryx_rowi	0.6232089494946861	2.5649493574615367	1.3862943611198906	4.394449154672439
Aquila_chrysaetos_chrysaetos	Aquila_chrysaetos	0.65559738965039	1.791759469228055	1.3862943611198906	4.584967478670572
Arabidopsis_lyrata_subsp._lyrata	Arabidopsis_lyrata	0.5218373477779965	4.04305126783455	3.1354942159291497	6.300785794663244
Arabidopsis_thaliana	Arabidopsis_thaliana	0.48296055873973326	2.833213344056216	1.0986122886681098	5.497168225293202
Arachis_duranensis	Arachis_duranensis	0.6399616422391061	4.219507705176107	3.4011973816621555	6.953684210870537
Arachis_hypogaea	Arachis_hypogaea	0.6549181835969413	3.7376696182833684	3.713572066704308	6.946975992135418
Arachis_ipaensis	Arachis_ipaensis	0.6572048066701387	3.784189633918261	3.8066624897703196	7.05444965813294
Archocentrus_centrarchus	Archocentrus_centrarchus	0.6183794598399556	4.875197323201151	3.6635616461296463	6.873163834212518
Arthrobotrys_oligospora_ATCC_24927	Arthrobotrys_oligospora	0.37855508336057536	0.0	0.0	1.9459101490553132
Arthroderma_uncinatum	Trichophyton_ajelloi	0.4444444444444444	1.0986122886681098	0.6931471805599453	2.4849066497880004
Asparagus_officinalis	Asparagus_officinalis	0.6513922236730877	4.0943445622221	2.833213344056216	7.198931240688173
Aspergillus_aculeatus_ATCC_16872	Aspergillus_aculeatus	0.49767441860465117	0.6931471805599453	0.0	1.6094379124341003
Aspergillus_alliaceus	Aspergillus_alliaceus	0.4278458059412041	2.8903717578961645	0.0	4.543294782270004
Aspergillus_bombycis	Aspergillus_bombycis	0.3909722222222222	0.0	0.0	2.302585092994046
Aspergillus_brunneoviolaceus_CBS_621.78	Aspergillus_brunneoviolaceus	0.5014705882352941	0.0	0.0	1.791759469228055
Aspergillus_caelatus	Aspergillus_caelatus	0.3642281851187247	1.6094379124341003	0.0	3.4339872044851463
Aspergillus_campestris_IBT_28561	Aspergillus_campestris	0.47576045627376423	0.0	0.0	2.0794415416798357
Aspergillus_candidus	Aspergillus_candidus	0.33986686390532544	0.0	0.0	2.5649493574615367
Aspergillus_clavatus_NRRL_1	Aspergillus_clavatus	0.41434248554913294	0.0	0.0	3.4657359027997265
Aspergillus_costaricaensis_CBS_115574	Aspergillus_costaricensis	0.6060606060606061	0.6931471805599453	0.0	1.9459101490553132
Aspergillus_eucalypticola_CBS_122712	Aspergillus_eucalypticola	0.4126984126984127	1.0986122886681098	0.0	2.6390573296152584
Aspergillus_fischeri_NRRL_181	Aspergillus_fischeri	0.32504410932454475	2.0794415416798357	0.6931471805599453	3.9318256327243257
Aspergillus_flavus_NRRL3357	Aspergillus_flavus	0.2894736842105263	0.0	0.0	0.6931471805599453
Aspergillus_fumigatus_Af293	Aspergillus_fumigatus	0.43227326266195526	2.0794415416798357	0.6931471805599453	3.044522437723423
Aspergillus_glaucus_CBS_516.65	Aspergillus_glaucus	0.3869858000292783	1.9459101490553132	2.0794415416798357	3.9889840465642745
Aspergillus_heteromorphus_CBS_117.55	Aspergillus_heteromorphus	0.6137504828118965	0.0	0.0	2.8903717578961645
Aspergillus_homomorphus_CBS_101889	Aspergillus_homomorphus	0.4291064740502943	0.0	0.0	2.1972245773362196
Aspergillus_ibericus_CBS_121593	Aspergillus_ibericus	0.5205831903945112	0.0	0.0	2.0794415416798357
Aspergillus_japonicus_CBS_114.51	Aspergillus_japonicus	0.3012345679012346	0.0	0.0	1.6094379124341003
Aspergillus_lentulus	Aspergillus_lentulus	0.3579638752052545	0.0	0.0	1.9459101490553132
Aspergillus_mulundensis	Aspergillus_mulundensis	0.6250117414991546	1.0986122886681098	0.0	3.871201010907891
Aspergillus_neoniger_CBS_115656	Aspergillus_neoniger	0.2687641083521445	1.0986122886681098	0.6931471805599453	2.772588722239781
Aspergillus_nidulans_FGSC_A4	Aspergillus_nidulans	0.3755156353958749	0.6931471805599453	0.6931471805599453	2.70805020110221
Aspergillus_niger_CBS_101883	Aspergillus_niger	0.2640761300555115	0.6931471805599453	0.0	2.5649493574615367
Aspergillus_nomiae_NRRL_13137	Aspergillus_dromiae	0.3026315789473684	0.0	0.0	1.3862943611198906
Aspergillus_novofumigatus_IBT_16806	Aspergillus_novofumigatus	0.44125742430827175	2.0794415416798357	1.3862943611198906	3.6635616461296463
Aspergillus_oryzae_RIB40	Aspergillus_flavus	0.3030769230769231	1.0986122886681098	0.0	2.302585092994046
Aspergillus_piperis_CBS_112811	Aspergillus_piperis	0.29852320675105487	0.0	0.0	1.3862943611198906
Aspergillus_pseudonomius	Aspergillus_pseudonomius	0.27425373134328357	0.0	0.0	2.0794415416798357
Aspergillus_pseudotamarii	Aspergillus_pseudotamarii	0.37319189971070393	0.6931471805599453	0.0	2.833213344056216
Aspergillus_saccharolyticus_JOP_1030-1	Aspergillus_saccharolyticus	0.4769694506536612	0.6931471805599453	0.0	3.6109179126442243
Aspergillus_sclerotioniger_CBS_115572	Aspergillus_sclerotioniger	0.46924829157175396	0.0	0.0	3.091042453358316
Aspergillus_steynii_IBT_23096	Aspergillus_steynii	0.6453546453546454	0.0	0.0	2.5649493574615367
Aspergillus_tanneri	Aspergillus_tanneri	0.47736176698290117	3.1780538303479458	2.0794415416798357	5.117993812416755
Aspergillus_terreus_NIH2624	Aspergillus_terreus	0.26151761517615174	0.0	0.0	1.791759469228055
Aspergillus_thermomutatus	Aspergillus_fischeri	0.3408117249154453	2.4849066497880004	2.1972245773362196	3.912023005428146
Aspergillus_uvarum_CBS_121591	Aspergillus_uvarum	0.5552783109404991	0.0	0.0	2.302585092994046
Aspergillus_vadensis_CBS_113365	Aspergillus_vadensis	0.5504688361831219	0.0	0.0	1.9459101490553132
Aspergillus_welwitschiae	Aspergillus_niger	0.31493242142973454	0.6931471805599453	0.0	3.1354942159291497
Astatotilapia_calliptera	Astatotilapia_calliptera	0.6126054409090053	5.375278407684165	4.189654742026425	6.923628628138427
Asterias_rubens	Asterias_rubens	0.6818636824400763	5.111987788356544	4.189654742026425	7.074116816197362
Astyanax_mexicanus	Astyanax_mexicanus	0.6246444236187779	5.19295685089021	4.110873864173311	7.348587530927593
Athalia_rosae	Athalia_rosae	0.5895045618155917	2.1972245773362196	1.0986122886681098	4.430816798843313
Athene_cunicularia	Athene_cunicularia	0.693407061342677	0.0	1.0986122886681098	4.718498871295094
Atta_cephalotes	Atta_cephalotes	0.5931382939604988	3.7612001156935624	2.0794415416798357	6.375024819828097
Atta_colombica	Atta_colombica	0.6153807167725571	3.828641396489095	2.1972245773362196	6.415096959171596
Aureobasidium_namibiae_CBS_147.97	Aureobasidium_pullulans	0.5338645418326693	0.0	0.0	1.9459101490553132
Aureobasidium_pullulans_EXF-150	Aureobasidium_pullulans	0.5770242943017813	1.6094379124341003	1.0986122886681098	3.295836866004329
Aureobasidium_subglaciale_EXF-2481	Aureobasidium_pullulans	0.4452614379084967	0.0	0.0	1.791759469228055
Aureococcus_anophagefferens	Aureococcus_anophagefferens	0.4917922367062468	3.5553480614894135	2.302585092994046	4.6443908991413725
Auricularia_subglabra_TFB-10046_SS5	Auricularia_subglabra	0.4090534782781826	3.7612001156935624	1.9459101490553132	5.616771097666572
Austrofundulus_limnaeus	Austrofundulus_limnaeus	0.6202870933288613	5.030437921392435	3.8918202981106265	6.9874902470009905
Auxenochlorella_protothecoides	Auxenochlorella_protothecoides	0.3121342177136169	0.6931471805599453	0.0	2.3978952727983707
Aythya_fuligula	Aythya_fuligula	0.732663118209952	2.70805020110221	1.791759469228055	4.9344739331306915
Babesia_bigemina	Babesia_bigemina	0.4059563543003851	0.6931471805599453	0.0	3.2188758248682006
Babesia_bovis	Babesia_bovis	0.38772455089820357	0.0	0.0	1.3862943611198906
Babesia_ovata	Babesia_ovata	0.4452474910138173	0.0	0.0	4.060443010546419
Babjeviella_inositovora_NRRL_Y-12698	Babjeviella_inositovora	0.3888888888888889	0.0	0.0	1.791759469228055
Bactrocera_dorsalis	Bactrocera_dorsalis	0.6089921040878384	2.70805020110221	1.3862943611198906	6.343880434126331
Bactrocera_latifrons	Bactrocera_latifrons	0.6672000605731253	4.23410650459726	2.8903717578961645	6.839476438228843
Bactrocera_oleae	Bactrocera_oleae	0.6899853744120334	4.04305126783455	2.302585092994046	6.658011045870748
Balearica_regulorum_gibbericeps	Balearica_regulorum	0.634553627293066	1.0986122886681098	0.6931471805599453	4.499809670330265
Bathycoccus_prasinos	Bathycoccus_prasinos	0.13071895424836602	1.0986122886681098	0.6931471805599453	1.0986122886681098
Baudoinia_panamericana_UAMH_10762	Baudoinia_panamericana	0.19382022471910113	0.0	0.0	1.3862943611198906
Beauveria_bassiana_ARSEF_2860	Beauveria_bassiana	0.37540528022232517	0.0	0.0	2.833213344056216
Belonocnema_treatae	Belonocnema_treatae	0.6315883304585239	4.77912349311153	2.8903717578961645	7.4377951216719325
Bemisia_tabaci	Bemisia_tabaci	0.7457548924191255	4.007333185232471	2.5649493574615367	6.364750756851911
Besnoitia_besnoiti	Besnoitia_besnoiti	0.3972972972972973	0.6931471805599453	0.0	1.6094379124341003
Beta_vulgaris_subsp._vulgaris	Beta_vulgaris	0.5846002706702547	4.110873864173311	2.4849066497880004	6.855408798609928
Betta_splendens	Betta_splendens	0.5781094475896535	4.442651256490317	3.091042453358316	6.013715156042802
Bicyclus_anynana	Bicyclus_anynana	0.6676470700126561	5.0689042022202315	3.8066624897703196	6.951772164398911
Biomphalaria_glabrata	Biomphalaria_glabrata	0.6990228170955934	4.804021044733257	2.6390573296152584	7.04141166379481
Bipolaris_maydis_ATCC_48331	Bipolaris_maydis	0.3811212814645309	1.6094379124341003	1.6094379124341003	2.995732273553991
Bipolaris_oryzae_ATCC_44560	Bipolaris_oryzae	0.3916249863093717	1.3862943611198906	1.9459101490553132	3.8918202981106265
Bipolaris_sorokiniana_ND90Pr	Bipolaris_sorokiniana	0.43104643104643103	2.0794415416798357	1.6094379124341003	4.394449154672439
Bipolaris_victoriae_FI3	Bipolaris_victoriae	0.41929683893383873	0.6931471805599453	0.0	3.9318256327243257
Bipolaris_zeicola_26-R-13	Bipolaris_zeicola	0.32444054776219106	2.4849066497880004	1.3862943611198906	3.871201010907891
Bison_bison_bison	Bison_bison	0.7739939004201006	2.9444389791664403	2.8903717578961645	5.840641657373398
Blastocystis_hominis	Blastocystis_hominis_-species_in_subkingdom_SAR	0.6312303852521808	3.044522437723423	1.3862943611198906	3.8501476017100584
Blastomyces_gilchristii_SLH14081	Blastomyces_gilchristii	0.6938815702555521	1.3862943611198906	2.1972245773362196	4.727387818712341
Boleophthalmus_pectinirostris	Boleophthalmus_pectinirostris	0.6862150873998611	4.997212273764115	4.127134385045092	7.10085190894405
Bombus_bifarius	Bombus_bifarius	0.5958710583697445	4.189654742026425	2.5649493574615367	5.84354441703136
Bombus_impatiens	Bombus_impatiens	0.6289895543611437	3.1354942159291497	1.9459101490553132	5.5134287461649825
Bombus_terrestris	Bombus_terrestris_-species_in_domain_Eukaryota	0.6267610657616335	3.044522437723423	1.3862943611198906	5.170483995038151
Bombus_vancouverensis_nearcticus	Bombus_vancouverensis	0.5783572948520992	4.574710978503383	2.9444389791664403	5.908082938168931
Bombus_vosnesenskii	Bombus_vosnesenskii	0.6183240324256394	4.51085950651685	3.091042453358316	5.973809611869261
Bombyx_mandarina	Bombyx_mandarina	0.71844782578081	5.099866427824199	4.31748811353631	6.648984550024776
Bombyx_mori	Bombyx_mori	0.7240058757917496	5.488937726156687	4.418840607796598	6.63200177739563
Bos_indicus	Bos_indicus	0.7811237262731634	2.3978952727983707	3.295836866004329	5.986452005284438
Bos_indicus_x_Bos_taurus	Bos_indicus	0.7696024378258914	1.9459101490553132	3.2188758248682006	5.945420608606575
Bos_mutus	Bos_mutus	0.7655659529182116	2.302585092994046	2.5649493574615367	5.860786223465865
Bos_taurus	Bos_taurus	0.7775639355252878	1.6094379124341003	2.995732273553991	5.916202062607435
Botrytis_cinerea_B05.10	Botrytis_cinerea	0.4775147928994083	0.0	0.6931471805599453	3.258096538021482
Brachypodium_distachyon	Brachypodium_distachyon	0.5821516529628801	3.4011973816621555	1.9459101490553132	5.860786223465865
Branchiostoma_belcheri	Branchiostoma_belcheri	0.6186002379522919	5.030437921392435	4.31748811353631	7.106606137727303
Branchiostoma_floridae	Branchiostoma_floridae	0.575671272674108	4.499809670330265	3.7376696182833684	7.001245622069476
Brassica_napus	Brassica_napus	0.607282177768813	3.713572066704308	1.6094379124341003	6.577861357721047
Brassica_oleracea_var._oleracea	Brassica_oleracea	0.5455577369284517	4.248495242049359	2.70805020110221	6.984716320118266
Brassica_rapa	Brassica_rapa	0.6040623145381698	2.1972245773362196	2.3978952727983707	5.575949103146316
Brugia_malayi	Brugia_malayi	0.8655936777897648	2.8903717578961645	1.0986122886681098	4.74493212836325
Bubalus_bubalis	Bubalus_bubalis	0.7491267358786878	2.0794415416798357	3.044522437723423	5.877735781779639
Buceros_rhinoceros_silvestris	Buceros_rhinoceros	0.6611221807179959	0.6931471805599453	1.6094379124341003	4.672828834461906
Byssochlamys_spectabilis	Byssochlamys_spectabilis	0.44595066731884564	1.0986122886681098	0.6931471805599453	3.4965075614664802
Caenorhabditis_elegans	Caenorhabditis_elegans	0.6309563464477819	2.9444389791664403	2.6390573296152584	5.66988092298052
Caenorhabditis_remanei	Caenorhabditis_remanei	0.676033460272631	3.367295829986474	1.6094379124341003	5.8916442118257715
