species	tree_tip	binomial	J	gini	l_arr	l_exp	logS	n_arr	n_exp	S
Aaosphaeria_arxii_CBS_175.79	Aaosphaeria_arxii	Aaosphaeria arxii	0.9130056548874514	0.3262061403508772	0.0	0.0	2.079441541679836	0	0	8
Abrus_precatorius	Abrus_precatorius_-species_in_kingdom_Archaeplastida	Abrus precatorius	0.9147528215056154	0.5529821834157229	1.9459101490553128	0.6931471805599453	6.214608098422191	6	1	500
Acanthamoeba_castellanii_str._Neff	Acanthamoeba_castellanii	Acanthamoeba castellanii	0.9133172550182808	0.3930659983291562	1.3862943611198906	0.0	2.9444389791664403	3	0	19
Acanthaster_planci	Acanthaster_planci	Acanthaster planci	0.92135782996827	0.5552512562583515	2.5649493574615367	1.0986122886681098	6.848005274576363	12	2	942
Acanthisitta_chloris	Acanthisitta_chloris	Acanthisitta chloris	0.7646047264377716	0.7349033426745469	0.0	0.0	4.7535901911063645	0	0	116
Acinonyx_jubatus	Acinonyx_jubatus	Acinonyx jubatus	0.724395548129962	0.8257347745487896	0.0	0.0	5.594711379601839	0	0	269
Acipenser_ruthenus	Acipenser_ruthenus	Acipenser ruthenus	0.8969564806739629	0.6292077721471959	4.356708826689592	3.6635616461296463	7.371489295214277	77	38	1590
Acromyrmex_echinatior	Acromyrmex_echinatior	Acromyrmex echinatior	0.8823069185578954	0.6154892876637809	3.044522437723423	2.079441541679836	6.47543271670409	20	7	649
Acropora_digitifera	Acropora_digitifera	Acropora digitifera	0.9117793528210112	0.5837886801594517	4.543294782270004	3.555348061489413	7.313886831633462	93	34	1501
Acropora_millepora	Acropora_millepora_-species_in_domain_Eukaryota	Acropora millepora	0.9117883459919276	0.581885322467142	4.442651256490317	3.1354942159291497	7.191429330036379	84	22	1328
Actinia_tenebrosa	Actinia_tenebrosa	Actinia tenebrosa	0.9042511027605924	0.5877977545405493	4.0943445622221	3.49650756146648	6.746412128573375	59	32	851
Acyrthosiphon_pisum	Acyrthosiphon_pisum	Acyrthosiphon pisum	0.7909293380320149	0.7037170481019177	3.688879454113936	1.3862943611198906	6.340359303727752	39	3	567
Acytostelium_subglobosum_LB1	Acytostelium_subglobosum	Acytostelium subglobosum	0.9223732090736606	0.3992341797662233	2.4849066497880004	0.0	3.4011973816621555	11	0	30
Aedes_aegypti	Aedes_aegypti	Aedes aegypti	0.9135947998663616	0.5911270733803441	4.174387269895637	3.713572066704308	7.532623618788788	64	40	1868
Aedes_albopictus	Aedes_albopictus	Aedes albopictus	0.90357054511891	0.6064229278610285	4.356708826689592	3.828641396489095	7.429520842786462	77	45	1685
Aethina_tumida	Aethina_tumida	Aethina tumida	0.8990993136157394	0.5840330437518108	2.6390573296152584	1.3862943611198906	5.948034989180646	13	3	383
Agaricus_bisporus_var._bisporus_H97	Agaricus_bisporus	Agaricus bisporus	0.8382179013073099	0.5131578947368421	2.079441541679836	0.0	2.995732273553991	7	0	20
Agaricus_bisporus_var._burnettii_JB137-S8	Agaricus_bisporus	Agaricus bisporus	0.84135643127408	0.5616530455434479	2.995732273553991	0.0	3.4657359027997265	19	0	32
Agrilus_planipennis	Agrilus_planipennis	Agrilus planipennis	0.8829908683552331	0.6405401758506594	4.189654742026425	3.7612001156935615	6.80128303447162	65	42	899
Ailuropoda_melanoleuca	Ailuropoda_melanoleuca	Ailuropoda melanoleuca	0.7276539062812943	0.8093813317334596	0.0	0.6931471805599453	5.5909869805108565	0	1	268
Alligator_mississippiensis	Alligator_mississippiensis	Alligator mississippiensis	0.901189157422996	0.6165920389397398	1.3862943611198906	1.0986122886681098	6.890609120147166	3	2	983
Alligator_sinensis	Alligator_sinensis	Alligator sinensis	0.8931536243552514	0.6341543559125834	2.70805020110221	0.6931471805599453	6.944087208229528	14	1	1037
Alternaria_alternata	Alternaria_alternata	Alternaria alternata	0.804842773908135	0.5384105960264901	0.0	0.0	2.6390573296152584	0	0	14
Alternaria_arborescens	Alternaria_arborescens	Alternaria arborescens	0.8272293304675721	0.5457928802588997	0.0	0.0	3.1780538303479458	0	0	24
Amblyraja_radiata	Amblyraja_radiata	Amblyraja radiata	0.8108690174806539	0.7850748845608281	4.477336814478207	3.367295829986474	7.0630481633881725	87	28	1168
Amborella_trichopoda	Amborella_trichopoda	Amborella trichopoda	0.8599410462060346	0.686344552972267	1.0986122886681098	1.791759469228055	6.951772164398911	2	5	1045
Amphimedon_queenslandica	Amphimedon_queenslandica	Amphimedon queenslandica	0.8648799960635825	0.6295537890746646	3.555348061489413	1.6094379124341005	6.431331081933479	34	4	621
Amyelois_transitella	Amyelois_transitella	Amyelois transitella	0.8417054519867274	0.7199338454430941	4.248495242049359	2.6390573296152584	6.507277712385012	69	13	670
Anabas_testudineus	Anabas_testudineus	Anabas testudineus	0.9064281757032292	0.5596660152265133	2.079441541679836	1.791759469228055	5.924255797414532	7	5	374
Ananas_comosus	Ananas_comosus	Ananas comosus	0.8646316736291877	0.6753922934686017	2.9444389791664403	1.3862943611198906	6.838405200847344	18	3	933
Anarrhichthys_ocellatus	Anarrhichthys_ocellatus	Anarrhichthys ocellatus	0.8827155226137479	0.6209470170959271	4.110873864173311	1.9459101490553128	6.561030665896573	60	6	707
Anas_platyrhynchos	Anas_platyrhynchos	Anas platyrhynchos	0.8355422826174894	0.6683018507522185	2.302585092994046	1.0986122886681098	5.1647859739235145	9	2	175
Anneissia_japonica	Anneissia_japonica	Anneissia japonica	0.9018317577555296	0.6173986893367855	5.209486152841421	2.833213344056216	7.3938782901077555	182	16	1626
Anopheles_gambiae_str._PEST	Anopheles_gambiae	Anopheles gambiae	0.9074076178338476	0.5564296061326374	3.610917912644224	2.302585092994046	6.091309882077698	36	9	442
Anoplophora_glabripennis	Anoplophora_glabripennis	Anoplophora glabripennis	0.9233254887048364	0.5735576927887596	5.236441962829949	3.555348061489413	7.495541943884256	187	34	1800
Anser_cygnoides_domesticus	Anser_cygnoides	Anser cygnoides	0.8476277011632039	0.6006799053052073	0.0	0.0	4.23410650459726	0	0	69
Anthracocystis_flocculosa_PF-1	Pseudozyma_flocculosa	Anthracocystis flocculosa	0.9611223730988842	0.2448602448602448	0.0	0.0	2.5649493574615367	0	0	13
Antrostomus_carolinensis	Antrostomus_carolinensis	Antrostomus carolinensis	0.8123962902975087	0.6841819364734656	1.0986122886681098	0.0	4.804021044733257	2	0	122
Aotus_nancymaae	Aotus_nancymaae	Aotus nancymaae	0.7400135795945245	0.816510289484699	0.0	1.0986122886681098	6.016157159698354	0	2	410
Apaloderma_vittatum	Apaloderma_vittatum	Apaloderma vittatum	0.7935544349574286	0.7155204196860581	1.0986122886681098	1.6094379124341005	4.787491742782046	2	4	120
Aphanomyces_astaci	Aphanomyces_astaci	Aphanomyces astaci	0.9040963384192026	0.5471083822720628	4.465908118654584	2.8903717578961645	6.709304340258298	86	17	820
Aphanomyces_invadans	Aphanomyces_invadans	Aphanomyces invadans	0.9502158547446764	0.4198152161192243	2.4849066497880004	1.6094379124341005	6.19644412779452	11	4	491
Aphantopus_hyperantus	Aphantopus_hyperantus	Aphantopus hyperantus	0.8472705602991795	0.7199191564903656	5.049856007249537	3.9889840465642745	7.039660349862076	155	53	1141
Aphis_gossypii	Aphis_gossypii	Aphis gossypii	0.815175640608521	0.6895250435364012	1.0986122886681098	0.6931471805599453	4.770684624465665	2	1	118
Apiotrichum_porosum	Apiotrichum_porosum	Apiotrichum porosum	0.902035930522962	0.2773972602739726	0.6931471805599453	0.6931471805599453	1.3862943611198906	1	1	4
Apis_cerana	Apis_cerana	Apis cerana	0.875346622606739	0.4917152439511299	0.0	0.0	3.332204510175204	0	0	28
Apis_dorsata	Apis_dorsata	Apis dorsata	0.8807239527850812	0.5332981493058827	0.0	0.0	4.02535169073515	0	0	56
Apis_florea	Apis_florea	Apis florea	0.8784858265733203	0.5326859467191132	0.0	0.0	3.9318256327243257	0	0	51
Apis_mellifera	Apis_mellifera_-species_in_domain_Eukaryota	Apis mellifera	0.8836660554389735	0.5200918053807775	1.6094379124341005	0.6931471805599453	4.127134385045092	4	1	62
Aplosporella_prunicola_CBS_121167	Aplosporella_prunicola	Aplosporella prunicola	0.8456478509953625	0.5554242165020609	1.0986122886681098	0.6931471805599453	4.007333185232471	2	1	55
Aplysia_californica	Aplysia_californica	Aplysia californica	0.7979869216356987	0.7325082680815607	3.218875824868201	1.3862943611198906	6.401917196727186	24	3	603
Aptenodytes_forsteri	Aptenodytes_forsteri	Aptenodytes forsteri	0.8047501525869893	0.6667679858153192	1.3862943611198906	1.0986122886681098	4.3694478524670215	3	2	79
Apteryx_mantelli_mantelli	Apteryx_australis_mantelli	Apteryx mantelli	0.7259097617869806	0.7363479219706658	1.9459101490553128	1.3862943611198906	3.951243718581428	6	3	52
Apteryx_rowi	Apteryx_rowi	Apteryx rowi	0.836808056694025	0.6232089494946861	1.6094379124341005	1.3862943611198906	4.394449154672439	4	3	81
Aquila_chrysaetos_chrysaetos	Aquila_chrysaetos	Aquila chrysaetos	0.8260629130682436	0.65559738965039	1.0986122886681098	1.0986122886681098	4.584967478670572	2	2	98
Arabidopsis_lyrata_subsp._lyrata	Arabidopsis_lyrata	Arabidopsis lyrata	0.920536343198366	0.5218373477779965	3.218875824868201	2.70805020110221	6.300785794663244	24	14	545
Arabidopsis_thaliana	Arabidopsis_thaliana	Arabidopsis thaliana	0.928113662738709	0.4829605587397332	1.791759469228055	0.6931471805599453	5.497168225293202	5	1	244
