"query","matched_name","ott_id","approx_match","flags","in_tree"
"aaosphaeria arxii","Aaosphaeria arxii",4078356,FALSE,"",TRUE
"abrus precatorius","Abrus precatorius (species in kingdom Archaeplastida)",39530,FALSE,"",TRUE
"acanthamoeba castellanii","Acanthamoeba castellanii",120245,FALSE,"sibling_higher",TRUE
"acanthaster planci","Acanthaster planci",926817,FALSE,"",TRUE
"acanthisitta chloris","Acanthisitta chloris",1085740,FALSE,"",TRUE
"acanthochromis polyacanthus","Acanthochromis polyacanthus",100410,FALSE,"incertae_sedis_inherited",FALSE
"acaromyces ingoldii","Acaromyces ingoldii",812087,FALSE,"",TRUE
"acinonyx jubatus","Acinonyx jubatus",752759,FALSE,"",TRUE
"acipenser ruthenus","Acipenser ruthenus",378930,FALSE,"",TRUE
"acromyrmex echinatior","Acromyrmex echinatior",735589,FALSE,"",TRUE
"acropora digitifera","Acropora digitifera",366634,FALSE,"",TRUE
"acropora millepora","Acropora millepora (species in domain Eukaryota)",718262,FALSE,"",TRUE
"actinia tenebrosa","Actinia tenebrosa",1084477,FALSE,"sibling_higher",TRUE
"acyrthosiphon pisum","Acyrthosiphon pisum",814484,FALSE,"sibling_higher",TRUE
"acytostelium subglobosum","Acytostelium subglobosum",351265,FALSE,"",TRUE
"aedes aegypti","Aedes aegypti",269666,FALSE,"",TRUE
"aedes albopictus","Aedes albopictus",793181,FALSE,"",TRUE
"aethina tumida","Aethina tumida",989691,FALSE,"",TRUE
"agaricus bisporus","Agaricus bisporus",564405,FALSE,"",TRUE
"agrilus planipennis","Agrilus planipennis",315327,FALSE,"",TRUE
"ailuropoda melanoleuca","Ailuropoda melanoleuca",872573,FALSE,"",TRUE
"alligator mississippiensis","Alligator mississippiensis",335590,FALSE,"",TRUE
"alligator sinensis","Alligator sinensis",953151,FALSE,"",TRUE
"alternaria alternata","Alternaria alternata",464784,FALSE,"sibling_higher",TRUE
"alternaria arborescens","Alternaria arborescens",657440,FALSE,"sibling_higher",TRUE
"amblyraja radiata","Amblyraja radiata",513579,FALSE,"",TRUE
"amborella trichopoda","Amborella trichopoda",303950,FALSE,"",TRUE
"amorphotheca resinae","Amorphotheca resinae",552017,FALSE,"major_rank_conflict_inherited",FALSE
"amphimedon queenslandica","Amphimedon queenslandica",707499,FALSE,"",TRUE
"amphiprion ocellaris","Amphiprion ocellaris",674643,FALSE,"incertae_sedis_inherited",FALSE
"amyelois transitella","Amyelois transitella",721898,FALSE,"",TRUE
"anabas testudineus","Anabas testudineus",896431,FALSE,"",TRUE
"ananas comosus","Ananas comosus",627039,FALSE,"",TRUE
"anarrhichthys ocellatus","Anarrhichthys ocellatus",714035,FALSE,"",TRUE
"anas platyrhynchos","Anas platyrhynchos",765167,FALSE,"sibling_higher",TRUE
"anneissia japonica","Anneissia japonica",73461,FALSE,"",TRUE
"anolis carolinensis","Anolis carolinensis",705356,FALSE,"",TRUE
"anopheles gambiae","Anopheles gambiae",553555,FALSE,"",TRUE
"anoplophora glabripennis","Anoplophora glabripennis",827047,FALSE,"",TRUE
"anser cygnoides","Anser cygnoides",190892,FALSE,"",TRUE
