species	tree_tip	binomial	S	N	gini	dom1	H	J	effN	asm	logN	logS	dH_raw	logGiniodds	tipc	clade
Pseudomyrmex_gracilis	Pseudomyrmex_gracilis	Pseudomyrmex gracilis	1794	296991.0	0.5125633121389251	0.0094885030186099	7.008956044029471	0.935500013034836	1106.4987657423912	282776121	12.601457114295387	7.492203042618741	-0.0601829734333296	0.0502638283137433	Pseudomyrmex_gracilis	Insecta
Nannochloropsis_gaditana_CCMP526	Nannochloropsis_gaditana	Nannochloropsis gaditana	49	1958.0	0.4664901711450668	0.0985699693564862	3.510848148524361	0.9021095219192888	33.47664891691499	33986952	7.579678823090456	3.8918202981106265	0.0261177269925614	-0.1342405432091379	Nannochloropsis_gaditana	Protists
Gouania_willdenowi	Gouania_willdenowi	Gouania willdenowi	3421	2216478.0	0.6119365231606941	0.0069560807731906	7.425244330210876	0.9124513205013286	1677.809462480911	937150793	14.611430007559674	8.137688184977605	-0.2887248353426326	0.4554596304637979	Gouania_willdenowi	Fish
Eimeria_acervulina	Eimeria_acervulina	Eimeria acervulina	204	100205.0	0.7132785143397212	0.0623222394092111	4.333908770626206	0.8149324903617733	76.24171627932469	45830609	11.51497336658753	5.318119993844216	-0.5653161647617706	0.9113606559932976	Eimeria_acervulina	Protists
Babesia_bigemina	Babesia_bigemina	Babesia bigemina	74	5376.0	0.5646868967181468	0.1311383928571428	3.68733141905814	0.8567090272124807	39.93812650129684	13840936	8.589699882202986	4.30406509320417	-0.2044955178799816	0.2602058626071739	Babesia_bigemina	Protists
Kryptolebias_marmoratus	Kryptolebias_marmoratus	Kryptolebias marmoratus	1922	946590.0	0.6594317184244417	0.0191635238065054	6.583070683114886	0.8706473775306506	722.7552776976399	680366784	13.76062133227425	7.561121589530238	-0.5549738075360189	0.660762792681652	Kryptolebias_marmoratus	Fish
Punica_granatum	Punica_granatum	Punica granatum	1571	383598.0	0.5883503108622802	0.0698178822621598	6.561408797849023	0.8915602486981302	707.2673898415173	320494280	12.85735040821349	7.359467638255621	-0.3728271934474163	0.3571498186901122	Punica_granatum	Viridiplantae
Aspergillus_alliaceus	Aspergillus_alliaceus	Aspergillus alliaceus	156	5255.0	0.4058003366756935	0.0329210275927687	4.7740963553718405	0.9453925712967224	118.4032717831614	40168528	8.566935283311052	5.049856007249537	0.1450625847411855	-0.3813541393744796	Aspergillus_alliaceus	Fungi
Nannizzia_gypsea_CBS_118893	Nannizzia_gypsea	Nannizzia gypsea	9	184.0	0.2246376811594203	0.2228260869565217	2.113404394443743	0.961851790774116	8.276369403866283	23272942	5.214935757608986	2.19722457733622	0.306528445036567	-1.23884162997676	Nannizzia_gypsea	Fungi
Aspergillus_nidulans_FGSC_A4	Aspergillus_nidulans	Aspergillus nidulans	38	1423.0	0.3405888227244147	0.1004919184820801	3.427904334603665	0.9423568773588876	30.812003392800268	30275969	7.260522598089852	3.6375861597263857	0.2081753452250967	-0.6606713299082081	Aspergillus_nidulans	Fungi
Apteryx_rowi	Apteryx_rowi	Apteryx rowi	393	255607.0	0.5841420777648766	0.036125771203449	5.316220959877411	0.8899213910859666	203.61296468369244	1228902913	12.451396387651984	5.973809611869261	-0.2379928583765789	0.3398005682465688	Apteryx_rowi	Aves
Lobosporangium_transversale	Lobosporangium_transversale	Lobosporangium transversale	297	14316.0	0.4890523000330209	0.0237496507404302	5.275091923991041	0.9264734967142848	195.4084384105153	42768949	9.569133071885917	5.6937321388027	-3.65763074849923e-05	-0.0437977997759675	Lobosporangium_transversale	Fungi
Drosophila_busckii	Drosophila_busckii	Drosophila busckii	248	33835.0	0.5889803219609395	0.0987734594354957	4.728584951454109	0.8576486917951387	113.13535700380504	118492362	10.429251048666323	5.513428746164983	-0.3634973948833293	0.3597516820684526	Drosophila_busckii	Insecta
Enhydra_lutris_kenyoni	Enhydra_lutris	Enhydra lutris	676	3307913.0	0.8122046949042829	0.0875077427973468	4.878208259090163	0.7486285630524185	131.39502700351744	2455276666	15.01182803490079	6.516193076042964	-1.2180708814399883	1.4643998287422082	Enhydra_lutris	Mammalia
Aspergillus_aculeatinus_CBS_121060	Aspergillus_aculeatinus	Aspergillus aculeatinus	22	932.0	0.4563987514631291	0.2854077253218884	2.653270613922409	0.8583740449891646	14.20040682610337	36471649	6.837332814685591	3.091042453358316	-0.0381838872936897	-0.1748490967033201	Aspergillus_aculeatinus	Fungi
Jaculus_jaculus	Jaculus_jaculus	Jaculus jaculus	826	5998871.0	0.81186842416191	0.0495161506223421	5.208374906291202	0.7754487328645054	182.7967548299721	2835250225	15.607081842820094	6.716594773520978	-1.0897593481256953	1.462196698309118	Jaculus_jaculus	Mammalia
Byssochlamys_spectabilis	Byssochlamys_spectabilis	Byssochlamys spectabilis	50	1970.0	0.4428020304568528	0.1040609137055837	3.569271054380556	0.9123849858316264	35.49071292041959	30105809	7.585788821732034	3.912023005428146	0.0696315650137275	-0.2297978115448067	Byssochlamys_spectabilis	Fungi
Fusarium_oxysporum_f._sp._lycopersici_4287	Fusarium_oxysporum	Fusarium oxysporum	256	13849.0	0.5295968458914001	0.0361036897970972	5.0382544172871375	0.9085830828196334	154.20061004075615	61471697	9.535968306842715	5.545177444479562	-0.0878935523826776	0.1185259472371593	Fusarium_oxysporum	Fungi
Notechis_scutatus	Notechis_scutatus	Notechis scutatus	1818	2898439.0	0.6913420843895537	0.0330236378961227	6.4455756417450125	0.8587811972627082	629.9091746340944	1665525958	14.879682874172174	7.505492274737424	-0.6388986909359353	0.8064011638489686	Notechis_scutatus	Herptiles
Spizellomyces_punctatus_DAOM_BR117	Spizellomyces_punctatus	Spizellomyces punctatus	28	1153.0	0.3849275182753066	0.1673894189071986	3.0652996032713244	0.9199014027833946	21.440884784209526	24131112	7.050122520269059	3.332204510175204	0.1278864208089185	-0.4686850649810383	Spizellomyces_punctatus	Fungi
Rhizopus_microsporus_ATCC_52813	Rhizopus_microsporus	Rhizopus microsporus	225	8525.0	0.4368703812316715	0.0269794721407624	5.086634868941259	0.939169234542058	161.8443173146577	25972395	9.050758302151715	5.41610040220442	0.0912375707362	-0.2538732897151258	Rhizopus_microsporus	Fungi
Theileria_orientalis_strain_Shintoku	Theileria_orientalis	Theileria orientalis	4	378.0	0.458994708994709	0.5873015873015873	1.0117411632454	0.7298169794386848	2.7503857188572347	9010364	5.934894195619588	1.3862943611198906	-0.080289857243504	-0.1643903760959423	Theileria_orientalis	Protists
Meriones_unguiculatus	Meriones_unguiculatus	Meriones unguiculatus	901	3666079.0	0.7378191627929359	0.0234482126544463	5.679208145196461	0.8347473736197119	292.7175483296654	2523124066	15.114633256522216	6.803505257608338	-0.7050088381423532	1.0346642736905578	Meriones_unguiculatus	Mammalia
Bipolaris_zeicola_26-R-13	Bipolaris_zeicola	Bipolaris zeicola	85	2059.0	0.3287603919664029	0.0393394851869839	4.266243253107448	0.9602921784317072	71.25345100312873	31267936	7.629975707027789	4.442651256490317	0.2391819538063053	-0.7137969706524775	Bipolaris_zeicola	Fungi
Gorilla_gorilla_gorilla	Gorilla_gorilla	Gorilla gorilla	868	4085218.0	0.7720957242013559	0.0583090057862273	5.317234009747801	0.7858532885237225	203.81933928740807	3044872214	15.2228856508254	6.766191714660351	-1.027885660363661	1.220182839610204	Gorilla_gorilla	Mammalia
Naumovozyma_castellii_CBS_4309	Naumovozyma_castellii	Naumovozyma castellii	11	246.0	0.147080561714708	0.1422764227642276	2.363886070530364	0.9858170610477424	10.63218871031239	11219539	5.5053315359323625	2.3978952727983707	0.3501129574517883	-1.757684622343553	Naumovozyma_castellii	Fungi
Numida_meleagris	Numida_meleagris	Numida meleagris	310	303353.0	0.7183084903853628	0.0650957795044057	4.61512474217632	0.8045091219724247	101.00042675974274	1043264150	12.62265242288805	5.736572297479192	-0.7012685720387051	0.936086594506417	Numida_meleagris	Aves
Dasypus_novemcinctus	Dasypus_novemcinctus	Dasypus novemcinctus	963	4275053.0	0.7572842175634912	0.0737270391735494	5.554955095909387	0.8085752414049233	258.5153558629731	3631522711	15.268307057936966	6.870053411798126	-0.8930866912659603	1.1378474963016372	Dasypus_novemcinctus	Mammalia
Picoides_pubescens	Picoides_pubescens	Picoides pubescens	479	916021.0	0.7930678600122073	0.0743443654676039	4.711887614286948	0.7634666555703672	111.26198151816928	1167323935	13.727794569157668	6.171700597410915	-1.0353729143045485	1.3435178783868036	Picoides_pubescens	Aves
Theropithecus_gelada	Theropithecus_gelada	Theropithecus gelada	973	4267762.0	0.791181831941702	0.0633324913619831	5.277611648313217	0.7670518949628808	195.9014346520104	2889630685	15.266600126025116	6.880384082186005	-1.180332913000811	1.3320639533860634	Theropithecus_gelada	Mammalia
Rhizophagus_irregularis_DAOM_181602=DAOM_197198	Rhizophagus_irregularis	Rhizophagus irregularis	1146	133859.0	0.471343345353092	0.0124907551976333	6.629420087859434	0.9411398533394608	757.0430248800784	136726313	11.80454228613517	7.044032897274685	0.0097009085374661	-0.1147523756288797	Rhizophagus_irregularis	Fungi
Ricinus_communis	Ricinus_communis	Ricinus communis	1359	336935.0	0.6072853414878725	0.0447860863371273	6.383657678717571	0.8848366169401909	592.0894247028258	350621860	12.7276453123928	7.214504414151143	-0.4097709263578419	0.4359154770331176	Ricinus_communis	Viridiplantae
Durio_zibethinus	Durio_zibethinus	Durio zibethinus	1140	628235.0	0.6110305061004242	0.0220888680191329	6.326583183353851	0.8988176928801827	559.2424965839216	715230256	13.350669579275204	7.038783541388542	-0.2924240688357624	0.4516459673851919	Durio_zibethinus	Viridiplantae
Fonsecaea_erecta	Fonsecaea_erecta	Fonsecaea erecta	49	1306.0	0.3569084601681407	0.0964777947932618	3.652907464404189	0.938611545393701	38.58669254864615	34747975	7.174724309836376	3.8918202981106265	0.1681770428723892	-0.5888077429574302	Fonsecaea_erecta	Fungi
Lactuca_sativa	Lactuca_sativa	Lactuca sativa	2167	3110266.0	0.6354093486590627	0.0097760127268857	6.894331565982954	0.8975709810020627	986.6659832354215	2384188817	14.950218811044511	7.681099001536359	-0.3635220859107892	0.555494213705169	Lactuca_sativa	Viridiplantae
Ascoidea_rubescens_DSM_1968	Ascoidea_rubescens	Ascoidea rubescens	17	2212.0	0.5419636208913945	0.1740506329113924	2.307050613426831	0.8142876420749537	10.044755057267986	17503998	7.701652362642226	2.833213344056216	-0.1362120206762487	0.1682502677325167	Ascoidea_rubescens	Fungi
Aplosporella_prunicola_CBS_121167	Aplosporella_prunicola	Aplosporella prunicola	84	3645.0	0.521520020902737	0.1163237311385459	3.912714605188512	0.8830684685970194	50.03459194853117	32818685	8.201111644442758	4.430816798843313	-0.1058760358655281	0.086133295646102	Aplosporella_prunicola	Fungi
