species	clade	dnds	te_total_copies	te_richness	n_recent_arrivals	arrival_fraction	genome_size_bp
Apteryx_rowi	Aves	0.172592796104366	85230.0	81	4	0.0493827160493827	1228902913
Aquila_chrysaetos_chrysaetos	Aves	0.16372926109617	105611.0	98	2	0.0204081632653061	1203454851
Aythya_fuligula	Aves	0.117130530228679	180821.0	139	2	0.014388489208633	1127004725
Calypte_anna	Aves	0.131680320128111	213743.0	164	3	0.0182926829268292	1059687259
Corapipo_altera	Aves	0.13329030910695	198406.0	148	2	0.0135135135135135	1095745976
Corvus_cornix_cornix	Aves	0.176306865845714	167767.0	117	1	0.0085470085470085	1042281180
Coturnix_japonica	Aves	0.12312387694356	224702.0	123	2	0.016260162601626	927656957
Cyanistes_caeruleus	Aves	0.149523329256599	155780.0	145	0	0.0	1186980630
Dromaius_novaehollandiae	Aves	0.162227062123593	56856.0	54	1	0.0185185185185185	1192254075
Haliaeetus_leucocephalus	Aves	0.174609223008562	102294.0	92	0	0.0	1178409481
Lepidothrix_coronata	Aves	0.153855555081251	181074.0	114	4	0.0350877192982456	1079577334
Manacus_vitellinus	Aves	0.167915212268827	188981.0	122	0	0.0	1072328541
Neopelma_chrysocephalum	Aves	0.093175643283913	213973.0	170	2	0.0117647058823529	1142796179
Nothoprocta_perdicaria	Aves	0.118032178524446	84637.0	50	0	0.0	965904370
Pipra_filicauda	Aves	0.164436907896387	197243.0	129	3	0.0232558139534883	1110963465
Sturnus_vulgaris	Aves	0.165402042573599	142163.0	125	0	0.0	1036755994
Taeniopygia_guttata	Aves	0.167197705996135	161725.0	161	3	0.0186335403726708	1068988106
Zonotrichia_albicollis	Aves	0.163937788758126	172373.0	142	1	0.0070422535211267	1052600561
Acipenser_ruthenus	Fish	0.098581732421758	2162174.0	1590	77	0.0484276729559748	1830501248
Anabas_testudineus	Fish	0.115758057480262	192542.0	374	7	0.0187165775401069	555658001
Astatotilapia_calliptera	Fish	0.180887656680251	776940.0	1016	134	0.1318897637795275	880445564
Betta_splendens	Fish	0.109648710320116	150791.0	409	39	0.0953545232273838	441388503
Carassius_auratus	Fish	0.124917992766745	1740215.0	1244	123	0.0988745980707395	1820635050
Chanos_chanos	Fish	0.072488430937872	184024.0	355	11	0.0309859154929577	656929047
Cottoperca_gobio	Fish	0.174283953511847	448389.0	742	75	0.1010781671159029	609391784
Denticeps_clupeoides	Fish	0.082647586574661	721421.0	847	58	0.0684769775678866	567401054
Echeneis_naucrates	Fish	0.102563708470106	177786.0	365	27	0.073972602739726	544229245
Epinephelus_lanceolatus	Fish	0.150486180713928	1494176.0	1582	174	0.1099873577749683	1087415941
Gadus_morhua	Fish	0.101823513262954	453156.0	1090	244	0.2238532110091743	669966409
Gouania_willdenowi	Fish	0.10065527892214	1675962.0	1867	79	0.0423138725227637	937150793
Gymnodraco_acuticeps	Fish	0.216467160147923	1167528.0	1552	488	0.3144329896907216	996888495
Ictalurus_punctatus	Fish	0.138928515763646	894139.0	814	12	0.0147420147420147	783274721
Kryptolebias_marmoratus	Fish	0.11141083598663	615355.0	757	56	0.0739762219286657	680366784
Larimichthys_crocea	Fish	0.136070627182594	416261.0	651	95	0.1459293394777265	657939657
Lepisosteus_oculatus	Fish	0.086804573945923	614985.0	570	31	0.0543859649122807	945878036
Mastacembelus_armatus	Fish	0.123115960110386	255837.0	517	31	0.0599613152804642	591951587
Myripristis_murdjan	Fish	0.105807590187844	645131.0	905	124	0.1370165745856353	835254674
Oncorhynchus_kisutch	Fish	0.148180665382387	3778841.0	1150	54	0.0469565217391304	2375911593
Oncorhynchus_mykiss	Fish	0.125048267059707	2542451.0	758	34	0.0448548812664907	2178999613
Oncorhynchus_tshawytscha	Fish	0.140815863872367	3448000.0	1298	45	0.034668721109399	2425713975
Oreochromis_aureus	Fish	0.186172875757346	720458.0	910	72	0.0791208791208791	918953803
Oreochromis_niloticus	Fish	0.173155010263022	867420.0	804	88	0.1094527363184079	1005681550
Pangasianodon_hypophthalmus	Fish	0.129741333283488	943858.0	1021	6	0.0058765915768854	758990195
Perca_flavescens	Fish	0.150166455110387	1149944.0	1663	237	0.142513529765484	877439799
Poecilia_formosa	Fish	0.142906996681119	620324.0	752	34	0.0452127659574468	748923461
Pseudochaenichthys_georgianus	Fish	0.187766349804238	1366108.0	1659	497	0.2995780590717299	1026101545
Salarias_fasciatus	Fish	0.087433836695168	429995.0	748	97	0.1296791443850267	797507141
Salmo_trutta	Fish	0.140031508338047	3496006.0	1334	71	0.053223388305847	2371880186
Sander_lucioperca	Fish	0.147811134762708	1173340.0	1699	262	0.1542083578575632	900477767
Scleropages_formosus	Fish	0.093703234598953	968081.0	439	4	0.0091116173120728	784563014
Seriola_lalandi_dorsalis	Fish	0.134043680497981	449583.0	501	21	0.0419161676646706	732509836
Sparus_aurata	Fish	0.125349779792626	730433.0	1064	140	0.131578947368421	833595063
Sphaeramia_orbicularis	Fish	0.111740133885668	1109866.0	903	85	0.0941306755260243	1342662642
Takifugu_rubripes	Fish	0.225297334875122	97623.0	313	73	0.2332268370607028	384126662
Thalassophryne_amazonica	Fish	0.116180709737516	3836682.0	1710	169	0.0988304093567251	2446592878
Trematomus_bernacchii	Fish	0.179872514112908	913126.0	1380	385	0.2789855072463768	867125071
Xiphophorus_couchianus	Fish	0.167499098877966	653785.0	809	36	0.0444993819530284	688541509
Xiphophorus_hellerii	Fish	0.165743783692361	692793.0	774	42	0.0542635658914728	732906125
Xiphophorus_maculatus	Fish	0.150858267608325	661127.0	837	46	0.054958183990442	704321165
Aedes_aegypti	Insecta	0.056206202651215	2543862.0	1868	64	0.0342612419700214	1278732104
Aedes_albopictus	Insecta	0.055052851456066	4183720.0	1685	77	0.0456973293768546	2538387871
Aethina_tumida	Insecta	0.044950026962582	122704.0	383	13	0.0339425587467362	234344249
Anoplophora_glabripennis	Insecta	0.040448242570784	977172.0	1800	187	0.1038888888888888	706968555
Apis_mellifera	Insecta	0.101129713623875	18918.0	62	4	0.064516129032258	225250884
Bactrocera_oleae	Insecta	0.042658900052891	542225.0	779	19	0.024390243902439	471780370
Bemisia_tabaci	Insecta	0.043135846028802	823294.0	581	22	0.0378657487091222	615017152
Bicyclus_anynana	Insecta	0.048431202460133	1263993.0	1045	64	0.0612440191387559	475399557
Bombus_bifarius	Insecta	0.095849373574104	104244.0	345	33	0.0956521739130434	266784621
Bombus_impatiens	Insecta	0.118046425702541	72140.0	248	5	0.0201612903225806	246856484
